station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KOAK,2022-12-27 00:00:00,5,459.0,6414.0,-17.3,-25.3,M,M,M,M
KOAK,2022-12-27 00:00:00,5,439.0,6746.0,-19.3,-21.9,M,M,M,M
KOAK,2022-12-27 00:00:00,5,436.0,6797.0,-19.5,-22.2,M,M,M,M
KOAK,2022-12-27 00:00:00,5,433.0,6848.0,-19.5,-22.0,M,M,M,M
KOAK,2022-12-27 00:00:00,5,425.0,6986.0,-19.7,-25.7,M,M,M,M
KOAK,2022-12-27 00:00:00,6,423.6,7010.0,M,M,275.0,38,55.0,10.0
KOAK,2022-12-27 00:00:00,5,420.0,7074.0,-20.1,-24.5,M,M,M,M
KOAK,2022-12-27 00:00:00,5,403.0,7378.0,-22.7,-28.7,M,M,M,M
KOAK,2022-12-27 00:00:00,4,400.0,7430.0,-23.3,-27.8,265.0,40,57.0,11.0
KOAK,2022-12-27 00:00:00,5,399.0,7448.0,-23.5,-29.5,M,M,M,M
KOAK,2022-12-27 00:00:00,5,391.0,7595.0,-24.7,-29.6,M,M,M,M
KOAK,2022-12-27 00:00:00,6,389.7,7620.0,M,M,265.0,38,58.0,12.0
KOAK,2022-12-27 00:00:00,5,387.0,7670.0,-25.3,-33.3,M,M,M,M
KOAK,2022-12-27 00:00:00,5,383.0,7745.0,-26.1,-34.1,M,M,M,M
KOAK,2022-12-27 00:00:00,5,382.0,7764.0,-26.3,-33.3,M,M,M,M
KOAK,2022-12-27 00:00:00,5,381.0,7783.0,-26.5,-34.5,M,M,M,M
KOAK,2022-12-27 00:00:00,5,378.0,7840.0,-26.9,-37.9,M,M,M,M
KOAK,2022-12-27 00:00:00,5,377.0,7859.0,-27.1,-37.1,M,M,M,M
KOAK,2022-12-27 00:00:00,5,374.0,7916.0,-27.5,-43.5,M,M,M,M
KOAK,2022-12-27 00:00:00,6,373.6,7924.0,M,M,255.0,43,59.0,12.0
KOAK,2022-12-27 00:00:00,5,366.0,8071.0,-28.7,-39.7,M,M,M,M
KOAK,2022-12-27 00:00:00,5,364.0,8110.0,-28.9,-36.9,M,M,M,M
KOAK,2022-12-27 00:00:00,5,357.0,8248.0,-30.1,-34.7,M,M,M,M
KOAK,2022-12-27 00:00:00,5,354.0,8308.0,-30.5,-31.8,M,M,M,M
